,Tree ID,Carbon Storage (kg),Height (m),Canopy Cover (m2)
640,1649.0,15.6,6.0,19.6
641,1650.0,15.6,6.0,19.6
642,1651.0,15.6,6.0,19.6
643,1652.0,15.6,6.0,19.6
644,1653.0,15.0,4.0,4.9
645,1654.0,35.7,4.0,4.9
646,1655.0,15.0,4.0,4.9
647,1656.0,15.0,4.0,4.9
648,1657.0,15.0,4.0,4.9
649,1658.0,15.0,4.0,4.9
650,1659.0,35.7,4.0,4.9
651,1660.0,35.7,4.0,4.9
652,1661.0,15.0,4.0,4.9
653,1662.0,15.0,4.0,4.9
654,1663.0,15.0,4.0,4.9
655,1664.0,15.0,4.0,4.9
656,1665.0,15.0,4.0,4.9
657,1666.0,15.0,4.0,4.9
658,1667.0,15.0,4.0,4.9
659,1668.0,15.0,4.0,4.9
660,1669.0,15.0,4.0,4.9
661,1670.0,15.0,4.0,4.9
662,1671.0,15.0,4.0,4.9
663,1672.0,15.0,4.0,4.9
664,1673.0,15.0,4.0,4.9
665,1674.0,15.0,4.0,4.9
666,1675.0,15.0,4.0,4.9
667,1676.0,15.0,4.0,4.9
668,1677.0,15.0,4.0,4.9
669,1678.0,15.0,4.0,4.9
670,1679.0,15.0,4.0,4.9
671,1680.0,15.0,4.0,4.9
672,1681.0,15.0,4.0,4.9
673,1682.0,15.0,4.0,4.9
674,1683.0,15.0,4.0,4.9
675,1684.0,15.0,4.0,4.9
676,1685.0,15.0,4.0,4.9
677,1686.0,15.0,4.0,4.9
678,1687.0,15.0,4.0,4.9
679,1688.0,15.0,4.0,4.9
680,1689.0,15.0,4.0,4.9
681,1690.0,15.0,4.0,4.9
682,1691.0,15.0,4.0,4.9
683,1692.0,15.0,4.0,4.9
684,1693.0,15.0,4.0,4.9
685,1694.0,15.0,4.0,4.9
686,1695.0,15.0,4.0,4.9
687,1696.0,15.0,4.0,4.9
688,1697.0,15.0,4.0,4.9
689,1698.0,15.0,4.0,4.9
690,1699.0,15.0,4.0,4.9
691,1700.0,15.0,4.0,4.9
692,1701.0,15.0,4.0,4.9
693,1702.0,15.0,4.0,4.9
694,1703.0,15.0,4.0,4.9
